"dateEndOfInteraction","dateStartOfInteraction","endOfInteraction","startOfInteraction","subjectID","ID"
"22/04/2024","22/04/2024","09:18:19","08:52:51","sm07",""
"22/04/2024","22/04/2024","14:44:25","14:41:45","sm07",""
"22/04/2024","22/04/2024","15:00:46","14:44:26","sm07",""
"22/04/2024","22/04/2024","16:56:20","15:04:53","sm07",""
"22/04/2024","22/04/2024","17:52:59","16:56:26","sm07",""
"22/04/2024","22/04/2024","17:58:32","17:53:04","sm07",""
"22/04/2024","22/04/2024","18:02:03","17:58:47","sm07",""
"22/04/2024","22/04/2024","18:08:44","18:02:07","sm07",""
"22/04/2024","22/04/2024","19:27:42","19:22:02","sm07",""
"22/04/2024","22/04/2024","19:31:24","19:30:43","sm07",""
"22/04/2024","22/04/2024","19:34:44","19:33:52","sm07",""
"22/04/2024","22/04/2024","19:35:51","19:35:47","sm07",""
"22/04/2024","22/04/2024","19:41:24","19:38:31","sm07",""
"22/04/2024","22/04/2024","19:50:05","19:41:47","sm07",""
"22/04/2024","22/04/2024","19:53:25","19:52:22","sm07",""
"22/04/2024","22/04/2024","19:58:58","19:58:06","sm07",""
"22/04/2024","22/04/2024","20:01:34","19:59:24","sm07",""
"22/04/2024","22/04/2024","20:23:46","20:19:30","sm07",""
"22/04/2024","22/04/2024","20:29:19","20:26:17","sm07",""
"22/04/2024","22/04/2024","20:33:22","20:30:58","sm07",""
"22/04/2024","22/04/2024","21:51:27","21:11:11","sm07",""
"22/04/2024","22/04/2024","23:19:43","21:51:30","sm07",""
"23/04/2024","23/04/2024","08:28:03","08:26:52","sm07",""
"23/04/2024","23/04/2024","08:59:29","08:28:06","sm07",""
"23/04/2024","23/04/2024","09:03:38","09:01:11","sm07",""
"23/04/2024","23/04/2024","09:05:01","09:04:13","sm07",""
"23/04/2024","23/04/2024","09:06:46","09:05:39","sm07",""
"23/04/2024","23/04/2024","09:08:08","09:07:04","sm07",""
"23/04/2024","23/04/2024","10:00:57","09:10:33","sm07",""
"23/04/2024","23/04/2024","16:54:48","16:25:12","sm07",""
